Type,Name,Price,Image_url,Buy_url,Local_Path
Silla,BERGMUND,75,https://www.ikea.com/es/es/images/products/bergmund-silla-efecto-roble-hallarp-beige__0926594_pe789377_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/bergmund-silla-efecto-roble-hallarp-beige-s39388081/,../data/img_ikea_Sillas/0000.jpg
Silla,ADDE,90,https://www.ikea.com/es/es/images/products/adde-silla-blanco__0728280_pe736170_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/adde-silla-blanco-10219178/,../data/img_ikea_Sillas/0001.jpg
Silla,ÖSTANÖ,12,https://www.ikea.com/es/es/images/products/ostano-silla-marron-rojizo-remmarn-marron-rojizo__1120081_pe873713_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/ostano-silla-marron-rojizo-remmarn-marron-rojizo-70526532/,../data/img_ikea_Sillas/0002.jpg
Silla,INGOLF,19,https://www.ikea.com/es/es/images/products/ingolf-silla-blanco-hallarp-beige__0926877_pe789566_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/ingolf-silla-blanco-hallarp-beige-50473073/,../data/img_ikea_Sillas/0003.jpg
Silla,KARLPETTER,65,https://www.ikea.com/es/es/images/products/karlpetter-silla-gunnared-verde-claro-sefast-blanco__1106897_pe868859_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/karlpetter-silla-gunnared-verde-claro-sefast-blanco-s29481447/,../data/img_ikea_Sillas/0004.jpg
Silla,GRÖNSTA,79,https://www.ikea.com/es/es/images/products/gronsta-silla-int-ext-blanco__1243689_pe920720_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/gronsta-silla-int-ext-blanco-70519763/,../data/img_ikea_Sillas/0005.jpg
Silla,KRYLBO,45,https://www.ikea.com/es/es/images/products/krylbo-silla-tonerud-beige-oscuro__1208495_pe908606_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/krylbo-silla-tonerud-beige-oscuro-60566745/,../data/img_ikea_Sillas/0006.jpg
Silla,TEODORES,49,https://www.ikea.com/es/es/images/products/teodores-silla-blanco__0727344_pe735616_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/teodores-silla-blanco-90350937/,../data/img_ikea_Sillas/0007.jpg
Silla,PÅBODA,59,https://www.ikea.com/es/es/images/products/paboda-silla-negro-remmarn-gris-oscuro__1169561_pe892496_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/paboda-silla-negro-remmarn-gris-oscuro-40546046/,../data/img_ikea_Sillas/0008.jpg
Silla,EKEDALEN,75,https://www.ikea.com/es/es/images/products/ekedalen-silla-blanco-orrsta-gris-claro__0728310_pe736178_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/ekedalen-silla-blanco-orrsta-gris-claro-60341015/,../data/img_ikea_Sillas/0009.jpg
Silla,STEFAN,30,https://www.ikea.com/es/es/images/products/stefan-silla-blanco__1322933_pe942332_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/stefan-silla-blanco-90339233/,../data/img_ikea_Sillas/0010.jpg
Silla,ODGER,35,https://www.ikea.com/es/es/images/products/odger-silla-antracita__0739669_pe741828_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/odger-silla-antracita-50457313/,../data/img_ikea_Sillas/0011.jpg
Silla,LIDÅS,25,https://www.ikea.com/es/es/images/products/lidas-silla-blanco-sefast-blanco__1106351_pe868690_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/lidas-silla-blanco-sefast-blanco-s39481381/,../data/img_ikea_Sillas/0012.jpg
Silla,LISABO,49,https://www.ikea.com/es/es/images/products/lisabo-silla-fresno__0786549_pe763015_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/lisabo-silla-fresno-00457235/,../data/img_ikea_Sillas/0013.jpg
Silla,TOSSBERG,59,https://www.ikea.com/es/es/images/products/tossberg-silla-metal-blanco-gunnared-beige__1142158_pe881185_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/tossberg-silla-metal-blanco-gunnared-beige-80565274/,../data/img_ikea_Sillas/0014.jpg
Silla,JOKKMOKK,29,https://www.ikea.com/es/es/images/products/jokkmokk-silla-tint-envj__0475400_pe615581_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/jokkmokk-silla-tint-envj-90342688/,../data/img_ikea_Sillas/0015.jpg
Silla,TEODORES,69,https://www.ikea.com/es/es/images/products/teodores-silla-blanco__1082708_pe858788_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/teodores-silla-blanco-s19399839/,../data/img_ikea_Sillas/0016.jpg
Silla,JANINGE,89,https://www.ikea.com/es/es/images/products/janinge-silla-blanco__0728156_pe736116_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/janinge-silla-blanco-00246078/,../data/img_ikea_Sillas/0017.jpg
Silla,STOCKHOLM,34,https://www.ikea.com/es/es/images/products/stockholm-silla-nogal__0753719_pe747693_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/stockholm-silla-nogal-60518226/,../data/img_ikea_Sillas/0018.jpg
Silla,LISABO,39,https://www.ikea.com/es/es/images/products/lisabo-silla-fresno-tallmyra-blanco-negro__1243660_pe920705_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/lisabo-silla-fresno-tallmyra-blanco-negro-30553706/,../data/img_ikea_Sillas/0019.jpg
Silla con reposabrazos,GRÖNSTA,49,https://www.ikea.com/es/es/images/products/gronsta-silla-con-reposabrazos-blanco__1243810_pe920959_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/gronsta-silla-con-reposabrazos-blanco-90557886/,../data/img_ikea_Sillas/0020.jpg
Sillón,NOLMYRA,59,https://www.ikea.com/es/es/images/products/nolmyra-sillon-chapa-abedul-gris__0152020_pe310348_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/nolmyra-sillon-chapa-abedul-gris-10233532/,../data/img_ikea_Sillas/0021.jpg
Silla,ÄLVSTA,129,https://www.ikea.com/es/es/images/products/alvsta-silla-mano-ratan-sefast-blanco__1115725_pe872233_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/alvsta-silla-a-mano-ratan-sefast-blanco-s19481565/,../data/img_ikea_Sillas/0022.jpg
Puf + almacenaje,KJUGE,149,https://www.ikea.com/es/es/images/products/kjuge-puf-almacenaje-knisa-gris-oscuro__1245550_pe921664_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/kjuge-puf-almacenaje-knisa-gris-oscuro-90531900/,../data/img_ikea_Sillas/0023.jpg
Silla,BERGMUND,24,https://www.ikea.com/es/es/images/products/bergmund-silla-blanco-gunnared-gris__0926632_pe789415_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/bergmund-silla-blanco-gunnared-gris-s79384632/,../data/img_ikea_Sillas/0024.jpg
Silla,KÄTTIL,29,https://www.ikea.com/es/es/images/products/kattil-silla-blanco-knisa-gris-claro__1016338_pe830329_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/kattil-silla-blanco-knisa-gris-claro-60500325/,../data/img_ikea_Sillas/0025.jpg
Silla,INGOLF,120,https://www.ikea.com/es/es/images/products/ingolf-silla-blanco__0728152_pe736113_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/ingolf-silla-blanco-70103250/,../data/img_ikea_Sillas/0026.jpg
Silla,SANDSBERG,140,https://www.ikea.com/es/es/images/products/sandsberg-silla-negro-tinte-marron__1068130_pe852977_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/sandsberg-silla-negro-tinte-marron-70412960/,../data/img_ikea_Sillas/0027.jpg
Silla,AGEN,39,https://www.ikea.com/es/es/images/products/agen-silla-ratan-bambu__31428_pe120743_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/agen-silla-ratan-bambu-50058376/,../data/img_ikea_Sillas/0028.jpg
Silla,LILLÅNÄS,49,https://www.ikea.com/es/es/images/products/lillanas-silla-cromado-gunnared-beige__1150348_pe884483_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/lillanas-silla-cromado-gunnared-beige-00534757/,../data/img_ikea_Sillas/0029.jpg
Silla plegable,NISSE,179,https://www.ikea.com/es/es/images/products/nisse-silla-plegable-negro__0728163_pe736118_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/nisse-silla-plegable-negro-30115066/,../data/img_ikea_Sillas/0030.jpg
Silla,KLINTEN,69,https://www.ikea.com/es/es/images/products/klinten-silla-marron-kilanda-beige-claro__1156101_pe886899_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/klinten-silla-marron-kilanda-beige-claro-00546878/,../data/img_ikea_Sillas/0031.jpg
Silla,TOBIAS,69,https://www.ikea.com/es/es/images/products/tobias-silla-transparente-cromado__0727342_pe735614_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/tobias-silla-transparente-cromado-80349671/,../data/img_ikea_Sillas/0032.jpg
Mesa y 4 sillas,JOKKMOKK,49,https://www.ikea.com/es/es/images/products/jokkmokk-mesa-4-sillas-blanco__0515062_pe639792_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/jokkmokk-mesa-4-sillas-blanco-40496428/,../data/img_ikea_Sillas/0033.jpg
